date,review,rating,title
2026-05-06,I paid for the AI playlist feature and now it’s gone. Where can I find it again? Wasn’t able to connect with support but this is so sad. The only thing that distinguished Spotify from others. Bring it back!,1,Where’s the feature I paid for?
2026-05-06,"I think it’s nice and easy to listen to music, spotify is even better with no ads. It is great for listening to classical music but it’s a little hard to find a certain collection all in one (example: Chopin nocturnes or Chopin ballades) but not hard enough to rate a four. I think there is an Apple Music Classical app though?",5,nice
2026-05-06,"ts app is peak, spotify shorts is also peak iykyk",5,PEAK
2026-05-06,Over all is a good app the only reason I don’t give it 5 stars is because the free version doesn’t let you rewind or shuffle songs other than that it’s a good music app.,4,Not bad
2026-05-06,Literally all of my favorite songs on here and it’s so easy to use,5,5 stars 😝😝😝
2026-05-06,SPOTIFY IM ON FIRE PLUS THE FIRST OF THE MONTH IS A GOOD TIME I GO WINDOW SHOPPING IM A GOOD GUY I LOVE THE LABLE COKE-BOYS CLOTHING AND IM WIT TRUCK FIT WELCOME MISS TOO,5,Man Spotify hot for playing
2026-05-06,If you don’t have premium you will be treated so badly if u click on too many songs and play them you have to pay up to 5 30 second adds it sucks,3,Not having premium
2026-05-06,Is the best app I have ever used for music and just wanting to watch my favorite show,5,Best app ever
2026-05-06,"I’ve used Spotify for 2 years now and I’ve never had premium, and I’ve noticed just how painful it is to use Spotify without premium. First of all, you can’t listen to 1 song without having to listen 3 or 4 ads, all 30 second ads, meaning you listen to ads for like 5 minutes btw. And, Once you finish a song, you immediately listen to like 5 ads, it’s actually ridiculous. And I get the whole “we have to pay artists” thing, but it’s not just the ads that is stupid. For some reason, you can’t rewind, skip more then 6 songs, or really do anything without Spotify premium,  it’s actually horrific, not to mention this whole “newish” thing where if you search and play one too many songs when searching, it prevents you from playing a song you want dand plays a random song that you didn’t pick instead and suggests you get premium. Genuinely how desperate can an app be for a membership… my advice is just use YouTube, they have WAYYYY less ads and it’s just better, Spotify has gotten so bad that’s it not even worth it anymore. The only reason it gets 2 stars is because listening to podcasts on Spotify is actually really nice, and because you get Spotify wrapped. Otherwise, it’s kind of useless, just use YouTube instead!!",2,it’s getting progressively worse…
2026-05-06,It was a great music app and then they expanded into podcasts and then kept adding ads even with a premium subscription. Now the app just literally crashes when I try and listen to anything or switch to another app. It seems like the fate of all tech products to get worse over time and become barely functional,1,It just doesn’t work
2026-05-06,There’s a lot of songs and YouTubers,5,Spotify
2026-05-06,"新歌很快更新，粵語舊歌幾乎全部搵到👍🏻；但是自己建立的歌曲名單未必能選擇得到某一首單曲，因為有時候歌曲會被捆綁在別的歌單一起，因此就經常因加入歌曲便搞亂了自己所選擇最愛的歌單了
希望改善選擇自己喜歡的歌曲能夠簡單直接就更好了",5,CantoPop 香港粵語歌
2026-05-06,There’s too many adds honestly and there’s other music apps that play adds but don’t charge for skipping songs or replaying them etc. It could be better,4,Ads
2026-05-06,Thank you for this app I enjoy listening to music and it comforts me Thank you,5,Spotify
2026-05-06,While i play the song the picture of the album turns into an addnwhich i have to rate before it goes away. Also it lies about the every 30 minuet adds pop up. Broo its like 10 min max. Why?,3,Quality has gotten worse
2026-05-06,Love it plays all of my songs and sounds great and there are different versions of the same song to make it appropriate for school dances and for school or at home if you have a Christian family and believe in god and does not play songs with cursing in the songs this is the app or if you like it original,5,Great to listen to music
2026-05-06,"Best app I have on my phone. Easy to navigate, good to experiment, good at suggesting songs, barely any downsides. I download all the music I love. I genuinely have more earwax than the average human, so one of my airpods hates me. That reminds me, if you’re an everyday user, get Airpods Max’s when you can.",5,I’m in love. (BOUGHT PREMIUM)
